TAVG,FF_AVG,RH_AVG,SS,DDD_X,DDD_CAR,TAVG^2,TAVG FF_AVG,TAVG RH_AVG,TAVG SS,TAVG DDD_X,TAVG DDD_CAR,FF_AVG^2,FF_AVG RH_AVG,FF_AVG SS,FF_AVG DDD_X,FF_AVG DDD_CAR,RH_AVG^2,RH_AVG SS,RH_AVG DDD_X,RH_AVG DDD_CAR,SS^2,SS DDD_X,SS DDD_CAR,DDD_X^2,DDD_X DDD_CAR,DDD_CAR^2,RR
29.1,2.0,77.0,4.0,230.0,0.0,846.8100000000001,58.2,2240.7000000000003,116.4,6693.0,0.0,4.0,154.0,8.0,460.0,0.0,5929.0,308.0,17710.0,0.0,16.0,920.0,0.0,52900.0,0.0,0.0,4.0
29.8,2.0,72.0,5.0,270.0,270.0,888.0400000000001,59.6,2145.6,149.0,8046.0,8046.0,4.0,144.0,10.0,540.0,540.0,5184.0,360.0,19440.0,19440.0,25.0,1350.0,1350.0,72900.0,72900.0,72900.0,28.8
27.9,2.0,80.0,8.1,220.0,225.0,778.41,55.8,2232.0,225.98999999999998,6138.0,6277.5,4.0,160.0,16.2,440.0,450.0,6400.0,648.0,17600.0,18000.0,65.61,1782.0,1822.5,48400.0,49500.0,50625.0,6.6
27.8,2.0,82.0,1.6,170.0,0.0,772.84,55.6,2279.6,44.480000000000004,4726.0,0.0,4.0,164.0,3.2,340.0,0.0,6724.0,131.20000000000002,13940.0,0.0,2.5600000000000005,272.0,0.0,28900.0,0.0,0.0,1.1
26.3,1.0,88.0,4.6,30.0,0.0,691.69,26.3,2314.4,120.97999999999999,789.0,0.0,1.0,88.0,4.6,30.0,0.0,7744.0,404.79999999999995,2640.0,0.0,21.159999999999997,138.0,0.0,900.0,0.0,0.0,0.0
29.0,1.0,78.0,3.0,230.0,180.0,841.0,29.0,2262.0,87.0,6670.0,5220.0,1.0,78.0,3.0,230.0,180.0,6084.0,234.0,17940.0,14040.0,9.0,690.0,540.0,52900.0,41400.0,32400.0,38.9
29.9,2.0,75.0,6.8,250.0,180.0,894.0099999999999,59.8,2242.5,203.32,7475.0,5382.0,4.0,150.0,13.6,500.0,360.0,5625.0,510.0,18750.0,13500.0,46.239999999999995,1700.0,1224.0,62500.0,45000.0,32400.0,0.0
28.1,2.0,82.0,8.0,190.0,270.0,789.6100000000001,56.2,2304.2000000000003,224.8,5339.0,7587.0,4.0,164.0,16.0,380.0,540.0,6724.0,656.0,15580.0,22140.0,64.0,1520.0,2160.0,36100.0,51300.0,72900.0,0.0
27.0,2.0,88.0,3.8,250.0,270.0,729.0,54.0,2376.0,102.6,6750.0,7290.0,4.0,176.0,7.6,500.0,540.0,7744.0,334.4,22000.0,23760.0,14.44,950.0,1026.0,62500.0,67500.0,72900.0,0.0
28.3,2.0,85.0,1.2,240.0,270.0,800.89,56.6,2405.5,33.96,6792.0,7641.0,4.0,170.0,2.4,480.0,540.0,7225.0,102.0,20400.0,22950.0,1.44,288.0,324.0,57600.0,64800.0,72900.0,8.7
29.7,2.0,79.0,5.6,260.0,270.0,882.0899999999999,59.4,2346.2999999999997,166.32,7722.0,8019.0,4.0,158.0,11.2,520.0,540.0,6241.0,442.4,20540.0,21330.0,31.359999999999996,1456.0,1512.0,67600.0,70200.0,72900.0,1.5
29.9,2.0,78.0,8.2,260.0,225.0,894.0099999999999,59.8,2332.2,245.17999999999998,7774.0,6727.5,4.0,156.0,16.4,520.0,450.0,6084.0,639.5999999999999,20280.0,17550.0,67.24,2132.0,1844.9999999999998,67600.0,58500.0,50625.0,5.0
